,zeroshot_zh_sc_cot,3shot_zh_sc_cot,zeroshot_zh_sc,3shot_zh_sc,zeroshot_en_sc_cot,3shot_en_sc_cot,zeroshot_en_sc,3shot_en_sc,zeroshot_zh_cot,3shot_zh_cot,zeroshot_zh,3shot_zh,zeroshot_en_cot,3shot_en_cot,zeroshot_en,3shot_en
baichuan-13b-chat,0.4972130960193636,0.5559686963448275,0.15991867509660915,0.3608604399236569,0.3703266700837178,0.17837655902955749,0.2040006834102169,0.2668183837348368,0.4385368771209725,0.5126493619717799,0.1522303101555533,0.3429216060505071,0.2860099094481462,0.18248009567743037,0.1829854775328891,0.24144404578848447
chinese-alpaca-2-13b,0.44163069980886865,0.4267863729462622,0.33142601206187094,0.43988601921988585,0.4972024602767812,0.5046810182812232,0.37725986673500767,0.48570920895267383,0.44163069980886865,0.4267863729462622,0.33142601206187094,0.43988601921988585,0.4972024602767812,0.5046810182812232,0.37725986673500767,0.48570920895267383
GPT-3.5-turbo,0.6755068606766993,0.6739685033658409,0.5863026663263302,0.5965695590019565,0.7200232359473774,0.7248829660003417,0.6684903468306852,0.6825979839398599,0.6475642561857635,0.6519168903831454,0.584249014062146,0.5924656760868241,0.6956678626345464,0.7092455151204511,0.6661845207585854,0.6826000341705108
llama-2-13b-chat,0.5695056247899984,0.5059087838970668,0.31581763896368914,0.3893833500194005,0.5866994703570818,0.6102849820604818,0.464931146420639,0.5303184691611139,0.5159303469036794,0.4802870596640386,0.2968461622159462,0.3955360949401867,0.5308180420297284,0.5679894071416368,0.41802870322911323,0.5333893729711259
qwen_chat_7b,0.5351984775189745,0.4772774086617454,0.2991485657623799,0.46907990767118846,0.5008286348880916,0.49775704766786266,0.4600574064582266,0.509801127626858,0.5059785848070791,0.4685570851687437,0.29633018293997326,0.5036802871965286,0.4733979155988382,0.4834044079958995,0.4592875448487956,0.5208214590808132
chatglm2-6b,0.4223796772597532,0.39474536012137146,0.3370976781616904,0.360409471299166,0.3654830001708525,0.40471587220228933,0.24655117033999657,0.37627541431744405,0.421354561934279,0.3952565491388141,0.33837975664118014,0.360409471299166,0.3662521783700666,0.4054847086963949,0.24783290620194767,0.3760191354860755
chinese-llama-2-13b,0.387752609151173,0.3224384605751458,0.22527046141823123,0.4183236969299233,0.37776422347514094,0.287581411242098,0.29395728686143857,0.40393815137536304,0.387752609151173,0.3224384605751458,0.22527046141823123,0.4183236969299233,0.37776422347514094,0.287581411242098,0.29395728686143857,0.40393815137536304
internlm_chat_7b,0.38369936611193184,0.41318374952696196,0.4165489061444646,0.4257865775587337,0.4390350247736203,0.5136295916623953,0.3867456005467282,0.45187937809670253,0.38369936611193184,0.41318374952696196,0.4165489061444646,0.4257865775587337,0.4390350247736203,0.5136295916623953,0.3867456005467282,0.45187937809670253
llama-2-70b-int4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-7b-chat,0.5561319072961797,0.5035920095750425,0.3022198058029192,0.40756477627097526,0.495427643943277,0.5515701349735178,0.40033965487784046,0.4677621732444901,0.5005194008892088,0.45617974144921747,0.2976108927741687,0.3862922646220931,0.4539039808645139,0.5195277635400649,0.3946998120621903,0.4823697249273876
