,Zero-shot_zh_sc_cot,3-shot_zh_sc_cot,Zero-shot_zh_sc,3-shot_zh_sc,Zero-shot_en_sc_cot,3-shot_en_sc_cot,Zero-shot_en_sc,3-shot_en_sc,Zero-shot_zh_cot,3-shot_zh_cot,Zero-shot_zh,3-shot_zh,Zero-shot_en_cot,3-shot_en_cot,Zero-shot_en,3-shot_en
baichuan-13b-chat,0.27556728835343586,0.305741462100296,0.12068319008252484,0.19511768042388272,0.19511092797142487,0.28765289363998026,0.11666455858394811,0.22530265809467523,0.26149329992022224,0.29165802023364135,0.12671721453760193,0.20115980782190912,0.13677527245322196,0.25948871088765435,0.09051982025959715,0.22127997512462386
chinese-alpaca-2-13b,0.257463864497713,0.22326025532834376,0.2293239905742351,0.2514338915141106,0.2896709875774638,0.14283225524665555,0.23133398156876922,0.16293756715396315,0.257463864497713,0.22326025532834376,0.2293239905742351,0.2514338915141106,0.2896709875774638,0.14283225524665555,0.23133398156876922,0.16293756715396315
GPT-3.5-turbo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-13b-chat,0.3198370583813745,0.20720598669141027,0.2434047314599065,0.2675489322231643,0.29571581595647334,0.33795668812299606,0.20317385028791796,0.22328591464768335,0.28765154314948865,0.20115575635043448,0.25145955083345023,0.2816310235993272,0.25548088331301005,0.25950221579256993,0.16495296011046354,0.1649462076580057
qwen_chat_7b,0.2836194067459965,0.317818964443891,0.17701560705865146,0.29570636252303245,0.23936854358493959,0.33391104681458816,0.19110985284923843,0.25548088331301005,0.2816121167324454,0.31379493098334804,0.19512308238584894,0.30777576192367817,0.22931588763128574,0.3339150982860629,0.18507177692268667,0.2595035662830615
chatglm2-6b,0.24137583359849057,0.2615108562966125,0.23334397256330341,0.22933209351718445,0.19714927926628179,0.22731129859871788,0.20519059373490986,0.20117871468879095,0.24137583359849057,0.2594995148115868,0.23334397256330341,0.22933209351718445,0.18910121234519592,0.22731129859871788,0.20519059373490986,0.2031914066643082
chinese-llama-2-13b,0.19913090996049315,0.20918356591414697,0.14682792840687578,0.1971222694564506,0.20516493441557024,0.23333586962035402,0.13878796442873922,0.1689702411185487,0.19913090996049315,0.20918356591414697,0.14682792840687578,0.1971222694564506,0.20516493441557024,0.23333586962035402,0.13878796442873922,0.1689702411185487
internlm_chat_7b,0.25948600990667114,0.2836261591984542,0.2594968138306036,0.2916890815149472,0.2554687288985861,0.27960617720938596,0.26352219778163816,0.255478182332027,0.25948600990667114,0.2836261591984542,0.2594968138306036,0.2916890815149472,0.2554687288985861,0.27960617720938596,0.26352219778163816,0.255478182332027
llama-2-70b-int4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-7b-chat,0.2795859198520126,0.17903235050564337,0.2071965332579693,0.18507312741317825,0.26553353926666384,0.33593049124256325,0.2373761089667957,0.20519194422540146,0.2534357795656954,0.18707906693623771,0.21725189019260624,0.19110850235874688,0.2434047314599065,0.29169178249593036,0.23536746846275314,0.1911125538302216
