,Zero-shot_zh_sc_cot,3-shot_zh_sc_cot,Zero-shot_zh_sc,3-shot_zh_sc,Zero-shot_en_sc_cot,3-shot_en_sc_cot,Zero-shot_en_sc,3-shot_en_sc,Zero-shot_zh_cot,3-shot_zh_cot,Zero-shot_zh,3-shot_zh,Zero-shot_en_cot,3-shot_en_cot,Zero-shot_en,3-shot_en
baichuan-13b-chat,0.037174721189591,0.0483271375464684,0.0074349442379182,0.0483271375464684,0.0297397769516728,0.0855018587360594,0.0185873605947955,0.0892193308550185,0.0520446096654275,0.037174721189591,0.0074349442379182,0.070631970260223,0.0111524163568773,0.070631970260223,0.0260223048327137,0.0892193308550185
chinese-alpaca-2-13b,0.0334572490706319,0.0037174721189591,0.0855018587360594,0.0446096654275092,0.104089219330855,0.0743494423791821,0.0817843866171003,0.0520446096654275,0.0334572490706319,0.0037174721189591,0.0855018587360594,0.0446096654275092,0.104089219330855,0.0743494423791821,0.0817843866171003,0.0520446096654275
GPT-3.5-turbo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-13b-chat,0.0929368029739776,0.104089219330855,0.0892193308550185,0.1115241635687732,0.1338289962825278,0.1412639405204461,0.0780669144981412,0.0743494423791821,0.0817843866171003,0.0594795539033457,0.1152416356877323,0.1189591078066914,0.1115241635687732,0.1078066914498141,0.0631970260223048,0.0446096654275092
qwen_chat_7b,0.0557620817843866,0.0743494423791821,0.0483271375464684,0.1078066914498141,0.0520446096654275,0.0780669144981412,0.0892193308550185,0.1115241635687732,0.0669144981412639,0.070631970260223,0.0631970260223048,0.1115241635687732,0.0631970260223048,0.0892193308550185,0.0780669144981412,0.1115241635687732
chatglm2-6b,0.0408921933085501,0.1003717472118959,0.0780669144981412,0.1078066914498141,0.104089219330855,0.0817843866171003,0.0929368029739776,0.1226765799256505,0.0408921933085501,0.1003717472118959,0.0780669144981412,0.1078066914498141,0.0966542750929368,0.0817843866171003,0.0929368029739776,0.1263940520446096
chinese-llama-2-13b,0.0223048327137546,0.0111524163568773,0.0,0.0297397769516728,0.0223048327137546,0.0557620817843866,0.0148698884758364,0.0483271375464684,0.0223048327137546,0.0111524163568773,0.0,0.0297397769516728,0.0223048327137546,0.0557620817843866,0.0148698884758364,0.0483271375464684
internlm_chat_7b,0.0631970260223048,0.0743494423791821,0.0929368029739776,0.1226765799256505,0.0780669144981412,0.0817843866171003,0.1003717472118959,0.104089219330855,0.0631970260223048,0.0743494423791821,0.0929368029739776,0.1226765799256505,0.0780669144981412,0.0817843866171003,0.1003717472118959,0.104089219330855
llama-2-70b-int4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-7b-chat,0.0260223048327137,0.0631970260223048,0.0780669144981412,0.0817843866171003,0.1003717472118959,0.1003717472118959,0.104089219330855,0.0966542750929368,0.0185873605947955,0.0669144981412639,0.0743494423791821,0.0855018587360594,0.0892193308550185,0.1301115241635687,0.1115241635687732,0.0966542750929368
