,model,dataset,qtype,sc,acc,chinese,cot,shot
0,llama-2-13b-chat,oracle-Zero-shot-en-single-sc,single,yes,0.3508771929824561,no,no,Zero-shot
1,llama-2-13b-chat,oracle-Zero-shot-en-single-sc,single,no,0.2850877192982456,no,no,Zero-shot
2,llama-2-13b-chat,oracle-Zero-shot-en-single-sc+cot,single,yes,0.4868421052631579,no,yes,Zero-shot
3,llama-2-13b-chat,oracle-Zero-shot-en-single-sc+cot,single,no,0.42543859649122806,no,yes,Zero-shot
4,llama-2-13b-chat,oracle-3-shot-zh-multiple-sc,multiple,yes,0.11152416356877323,yes,no,3-shot
5,llama-2-13b-chat,oracle-3-shot-zh-multiple-sc,multiple,no,0.11895910780669144,yes,no,3-shot
6,llama-2-13b-chat,oracle-Zero-shot-zh-single-sc,single,yes,0.42543859649122806,yes,no,Zero-shot
7,llama-2-13b-chat,oracle-Zero-shot-zh-single-sc,single,no,0.41228070175438597,yes,no,Zero-shot
8,llama-2-13b-chat,oracle-Zero-shot-zh-single-sc+cot,single,yes,0.5877192982456141,yes,yes,Zero-shot
9,llama-2-13b-chat,oracle-Zero-shot-zh-single-sc+cot,single,no,0.5307017543859649,yes,yes,Zero-shot
10,llama-2-13b-chat,oracle-Zero-shot-zh-multiple-sc,multiple,yes,0.08921933085501858,yes,no,Zero-shot
11,llama-2-13b-chat,oracle-Zero-shot-zh-multiple-sc,multiple,no,0.11524163568773234,yes,no,Zero-shot
12,llama-2-13b-chat,oracle-Zero-shot-zh-multiple-sc+cot,multiple,yes,0.09293680297397769,yes,yes,Zero-shot
13,llama-2-13b-chat,oracle-Zero-shot-zh-multiple-sc+cot,multiple,no,0.08178438661710037,yes,yes,Zero-shot
14,llama-2-13b-chat,oracle-3-shot-zh-multiple-sc+cot,multiple,yes,0.10408921933085502,yes,yes,3-shot
15,llama-2-13b-chat,oracle-3-shot-zh-multiple-sc+cot,multiple,no,0.05947955390334572,yes,yes,3-shot
16,llama-2-13b-chat,oracle-3-shot-en-single-sc,single,yes,0.3991228070175439,no,no,3-shot
17,llama-2-13b-chat,oracle-3-shot-en-single-sc,single,no,0.30701754385964913,no,no,3-shot
18,llama-2-13b-chat,oracle-Zero-shot-en-multiple-sc,multiple,yes,0.07806691449814127,no,no,Zero-shot
19,llama-2-13b-chat,oracle-Zero-shot-en-multiple-sc,multiple,no,0.06319702602230483,no,no,Zero-shot
20,llama-2-13b-chat,oracle-Zero-shot-en-multiple-sc+cot,multiple,yes,0.13382899628252787,no,yes,Zero-shot
21,llama-2-13b-chat,oracle-Zero-shot-en-multiple-sc+cot,multiple,no,0.11152416356877323,no,yes,Zero-shot
22,llama-2-13b-chat,oracle-3-shot-zh-single-sc,single,yes,0.4517543859649123,yes,no,3-shot
23,llama-2-13b-chat,oracle-3-shot-zh-single-sc,single,no,0.47368421052631576,yes,no,3-shot
24,llama-2-13b-chat,oracle-3-shot-zh-single-sc+cot,single,yes,0.32894736842105265,yes,yes,3-shot
25,llama-2-13b-chat,oracle-3-shot-zh-single-sc+cot,single,no,0.3684210526315789,yes,yes,3-shot
26,llama-2-13b-chat,oracle-3-shot-en-single-sc+cot,single,yes,0.5701754385964912,no,yes,3-shot
27,llama-2-13b-chat,oracle-3-shot-en-single-sc+cot,single,no,0.43859649122807015,no,yes,3-shot
28,llama-2-13b-chat,oracle-3-shot-en-multiple-sc,multiple,yes,0.07434944237918216,no,no,3-shot
29,llama-2-13b-chat,oracle-3-shot-en-multiple-sc,multiple,no,0.04460966542750929,no,no,3-shot
30,llama-2-13b-chat,oracle-3-shot-en-multiple-sc+cot,multiple,yes,0.1412639405204461,no,yes,3-shot
31,llama-2-13b-chat,oracle-3-shot-en-multiple-sc+cot,multiple,no,0.10780669144981413,no,yes,3-shot
32,internlm_chat_7b,oracle-Zero-shot-zh-single-sc,single,yes,0.45614035087719296,yes,no,Zero-shot
33,internlm_chat_7b,oracle-Zero-shot-zh-single-sc,single,no,0.45614035087719296,yes,no,Zero-shot
34,internlm_chat_7b,oracle-Zero-shot-zh-multiple-sc,multiple,yes,0.09293680297397769,yes,no,Zero-shot
35,internlm_chat_7b,oracle-Zero-shot-zh-multiple-sc,multiple,no,0.09293680297397769,yes,no,Zero-shot
36,internlm_chat_7b,oracle-Zero-shot-en-single-sc+cot,single,yes,0.4649122807017544,no,yes,Zero-shot
37,internlm_chat_7b,oracle-Zero-shot-en-single-sc+cot,single,no,0.4649122807017544,no,yes,Zero-shot
38,internlm_chat_7b,oracle-3-shot-zh-single-sc,single,yes,0.49122807017543857,yes,no,3-shot
39,internlm_chat_7b,oracle-3-shot-zh-single-sc,single,no,0.49122807017543857,yes,no,3-shot
40,internlm_chat_7b,oracle-Zero-shot-zh-single-sc+cot,single,yes,0.49122807017543857,yes,yes,Zero-shot
41,internlm_chat_7b,oracle-Zero-shot-zh-single-sc+cot,single,no,0.49122807017543857,yes,yes,Zero-shot
42,internlm_chat_7b,oracle-3-shot-zh-multiple-sc+cot,multiple,yes,0.07434944237918216,yes,yes,3-shot
43,internlm_chat_7b,oracle-3-shot-zh-multiple-sc+cot,multiple,no,0.07434944237918216,yes,yes,3-shot
44,internlm_chat_7b,oracle-Zero-shot-zh-multiple-sc+cot,multiple,yes,0.06319702602230483,yes,yes,Zero-shot
45,internlm_chat_7b,oracle-Zero-shot-zh-multiple-sc+cot,multiple,no,0.06319702602230483,yes,yes,Zero-shot
46,internlm_chat_7b,oracle-3-shot-en-single-sc,single,yes,0.4342105263157895,no,no,3-shot
47,internlm_chat_7b,oracle-3-shot-en-single-sc,single,no,0.4342105263157895,no,no,3-shot
48,internlm_chat_7b,oracle-Zero-shot-en-single-sc,single,yes,0.45614035087719296,no,no,Zero-shot
49,internlm_chat_7b,oracle-Zero-shot-en-single-sc,single,no,0.45614035087719296,no,no,Zero-shot
50,internlm_chat_7b,oracle-Zero-shot-en-multiple-sc,multiple,yes,0.10037174721189591,no,no,Zero-shot
51,internlm_chat_7b,oracle-Zero-shot-en-multiple-sc,multiple,no,0.10037174721189591,no,no,Zero-shot
52,internlm_chat_7b,oracle-Zero-shot-en-multiple-sc+cot,multiple,yes,0.07806691449814127,no,yes,Zero-shot
53,internlm_chat_7b,oracle-Zero-shot-en-multiple-sc+cot,multiple,no,0.07806691449814127,no,yes,Zero-shot
54,internlm_chat_7b,oracle-3-shot-en-single-sc+cot,single,yes,0.5131578947368421,no,yes,3-shot
55,internlm_chat_7b,oracle-3-shot-en-single-sc+cot,single,no,0.5131578947368421,no,yes,3-shot
56,internlm_chat_7b,oracle-3-shot-zh-single-sc+cot,single,yes,0.5307017543859649,yes,yes,3-shot
57,internlm_chat_7b,oracle-3-shot-zh-single-sc+cot,single,no,0.5307017543859649,yes,yes,3-shot
58,internlm_chat_7b,oracle-3-shot-zh-multiple-sc,multiple,yes,0.12267657992565056,yes,no,3-shot
59,internlm_chat_7b,oracle-3-shot-zh-multiple-sc,multiple,no,0.12267657992565056,yes,no,3-shot
60,internlm_chat_7b,oracle-3-shot-en-multiple-sc,multiple,yes,0.10408921933085502,no,no,3-shot
61,internlm_chat_7b,oracle-3-shot-en-multiple-sc,multiple,no,0.10408921933085502,no,no,3-shot
62,internlm_chat_7b,oracle-3-shot-en-multiple-sc+cot,multiple,yes,0.08178438661710037,no,yes,3-shot
63,internlm_chat_7b,oracle-3-shot-en-multiple-sc+cot,multiple,no,0.08178438661710037,no,yes,3-shot
64,chinese-alpaca-2-13b,oracle-Zero-shot-zh-multiple-sc,multiple,yes,0.08550185873605948,yes,no,Zero-shot
65,chinese-alpaca-2-13b,oracle-Zero-shot-zh-multiple-sc,multiple,no,0.08550185873605948,yes,no,Zero-shot
66,chinese-alpaca-2-13b,oracle-Zero-shot-zh-multiple-sc+cot,multiple,yes,0.03345724907063197,yes,yes,Zero-shot
67,chinese-alpaca-2-13b,oracle-Zero-shot-zh-multiple-sc+cot,multiple,no,0.03345724907063197,yes,yes,Zero-shot
68,chinese-alpaca-2-13b,oracle-Zero-shot-en-single-sc+cot,single,yes,0.5087719298245614,no,yes,Zero-shot
