,Zero-shot_zh_sc_cot,3-shot_zh_sc_cot,Zero-shot_zh_sc,3-shot_zh_sc,Zero-shot_en_sc_cot,3-shot_en_sc_cot,Zero-shot_en_sc,3-shot_en_sc,Zero-shot_zh_cot,3-shot_zh_cot,Zero-shot_zh,3-shot_zh,Zero-shot_en_cot,3-shot_en_cot,Zero-shot_en,3-shot_en
baichuan-13b-chat,0.5570175438596491,0.6096491228070176,0.2543859649122807,0.3684210526315789,0.3903508771929824,0.5263157894736842,0.2324561403508772,0.3859649122807017,0.5087719298245614,0.5921052631578947,0.2675438596491228,0.3552631578947368,0.2850877192982456,0.4824561403508772,0.1666666666666666,0.3771929824561403
chinese-alpaca-2-13b,0.5219298245614035,0.4824561403508772,0.3991228070175439,0.4956140350877193,0.5087719298245614,0.2236842105263158,0.4078947368421052,0.293859649122807,0.5219298245614035,0.4824561403508772,0.3991228070175439,0.4956140350877193,0.5087719298245614,0.2236842105263158,0.4078947368421052,0.293859649122807
GPT-3.5-turbo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-13b-chat,0.5877192982456141,0.3289473684210526,0.425438596491228,0.4517543859649123,0.4868421052631579,0.5701754385964912,0.3508771929824561,0.3991228070175439,0.5307017543859649,0.3684210526315789,0.4122807017543859,0.4736842105263157,0.425438596491228,0.4385964912280701,0.2850877192982456,0.3070175438596491
qwen_chat_7b,0.5526315789473685,0.6052631578947368,0.3289473684210526,0.5175438596491229,0.4605263157894737,0.6359649122807017,0.3114035087719298,0.425438596491228,0.5350877192982456,0.6008771929824561,0.3508771929824561,0.5394736842105263,0.425438596491228,0.6228070175438597,0.3114035087719298,0.4342105263157895
chatglm2-6b,0.4780701754385965,0.4517543859649123,0.4166666666666667,0.3728070175438596,0.3070175438596491,0.3991228070175439,0.337719298245614,0.293859649122807,0.4780701754385965,0.4473684210526316,0.4166666666666667,0.3728070175438596,0.2982456140350877,0.3991228070175439,0.337719298245614,0.293859649122807
chinese-llama-2-13b,0.4078947368421052,0.4429824561403508,0.3201754385964912,0.3947368421052631,0.4210526315789473,0.4429824561403508,0.2850877192982456,0.3114035087719298,0.4078947368421052,0.4429824561403508,0.3201754385964912,0.3947368421052631,0.4210526315789473,0.4429824561403508,0.2850877192982456,0.3114035087719298
internlm_chat_7b,0.4912280701754385,0.5307017543859649,0.4561403508771929,0.4912280701754385,0.4649122807017544,0.5131578947368421,0.4561403508771929,0.4342105263157895,0.4912280701754385,0.5307017543859649,0.4561403508771929,0.4912280701754385,0.4649122807017544,0.5131578947368421,0.4561403508771929,0.4342105263157895
llama-2-70b-int4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
llama-2-7b-chat,0.5789473684210527,0.3157894736842105,0.3596491228070175,0.3070175438596491,0.4605263157894737,0.6140350877192983,0.3947368421052631,0.3333333333333333,0.5307017543859649,0.3289473684210526,0.3859649122807017,0.3157894736842105,0.425438596491228,0.4824561403508772,0.3815789473684211,0.3026315789473684
