,Fluency,Accuracy,Evidence,Total
baichuan-13b-chat,3.0,1.183673469387755,0.9183673469387755,5.1020408163265305
chinese-alpaca-2-13b,2.5306122448979593,1.346938775510204,0.7551020408163265,4.63265306122449
GPT-3.5-turbo,3.0,1.7551020408163265,1.2040816326530612,5.959183673469388
llama-2-13b-chat,2.7142857142857144,1.1224489795918366,1.3265306122448979,5.163265306122449
qwen_chat_7b,2.7142857142857144,1.0408163265306123,0.7346938775510204,4.489795918367347
chatglm2-6b,2.9183673469387754,0.9795918367346939,1.0204081632653061,4.918367346938775
chinese-llama-2-13b,1.3673469387755102,0.673469387755102,0.22448979591836735,2.2653061224489797
internlm_chat_7b,0.8979591836734694,0.2857142857142857,0.0,1.183673469387755
llama-2-70b-int4,2.3877551020408165,0.8979591836734694,0.7346938775510204,4.020408163265306
llama-2-7b-chat,0.0,0.0,0.0,0.0
