,model,dataset,qtype,sc,acc,chinese,cot,shot
0,llama-2-7b-chat,zte-Zero-shot-zh-multiple-sc+cot,multiple,yes,0.032,yes,yes,3shot
1,llama-2-7b-chat,zte-Zero-shot-zh-multiple-sc+cot,multiple,no,0.038857142857142854,yes,yes,3shot
2,llama-2-7b-chat,zte-Zero-shot-en-single-sc,single,yes,0.35804597701149427,no,no,3shot
3,llama-2-7b-chat,zte-Zero-shot-en-single-sc,single,no,0.32413793103448274,no,no,3shot
4,llama-2-7b-chat,zte-Zero-shot-en-single-sc+cot,single,yes,0.4925287356321839,no,yes,3shot
5,llama-2-7b-chat,zte-Zero-shot-en-single-sc+cot,single,no,0.4614942528735632,no,yes,3shot
6,llama-2-7b-chat,zte-Zero-shot-zh-single-sc+cot,single,yes,0.6,yes,yes,3shot
7,llama-2-7b-chat,zte-Zero-shot-zh-single-sc+cot,single,no,0.575287356321839,yes,yes,3shot
8,llama-2-7b-chat,zte-Zero-shot-zh-single-sc,single,yes,0.42126436781609194,yes,no,3shot
9,llama-2-7b-chat,zte-Zero-shot-zh-single-sc,single,no,0.4206896551724138,yes,no,3shot
10,llama-2-7b-chat,zte-Zero-shot-zh-multiple-sc,multiple,yes,0.07657142857142857,yes,no,3shot
11,llama-2-7b-chat,zte-Zero-shot-zh-multiple-sc,multiple,no,0.072,yes,no,3shot
12,llama-2-7b-chat,zte-Zero-shot-en-multiple-sc,multiple,yes,0.096,no,no,3shot
13,llama-2-7b-chat,zte-Zero-shot-en-multiple-sc,multiple,no,0.09714285714285714,no,no,3shot
14,llama-2-7b-chat,zte-3-shot-zh-multiple-sc,multiple,yes,0.152,yes,no,3shot
15,llama-2-7b-chat,zte-3-shot-zh-multiple-sc,multiple,no,0.1462857142857143,yes,no,3shot
16,llama-2-7b-chat,zte-3-shot-zh-multiple-sc+cot,multiple,yes,0.06971428571428571,yes,yes,3shot
17,llama-2-7b-chat,zte-3-shot-zh-multiple-sc+cot,multiple,no,0.07885714285714286,yes,yes,3shot
18,llama-2-7b-chat,zte-3-shot-en-single-sc,single,yes,0.4379310344827586,no,no,3shot
19,llama-2-7b-chat,zte-3-shot-en-single-sc,single,no,0.36379310344827587,no,no,3shot
20,llama-2-7b-chat,zte-Zero-shot-en-multiple-sc+cot,multiple,yes,0.08342857142857144,no,yes,3shot
21,llama-2-7b-chat,zte-Zero-shot-en-multiple-sc+cot,multiple,no,0.07885714285714286,no,yes,3shot
22,llama-2-7b-chat,zte-3-shot-zh-single-sc+cot,single,yes,0.6137931034482759,yes,yes,3shot
