,model,dataset,qtype,sc,acc,chinese,cot,shot
0,qwen_chat_7b,3shot-sc-single,single,yes,0.5731513805141225,no,no,3shot
1,qwen_chat_7b,3shot-sc-single,single,no,0.5864804823865439,no,no,3shot
2,qwen_chat_7b,3shot-sc-multiple,multiple,yes,0.244,no,no,3shot
3,qwen_chat_7b,3shot-sc-multiple,multiple,no,0.24533333333333332,no,no,3shot
4,qwen_chat_7b,3shot-sc+cot-single,single,yes,0.5572834020945732,no,yes,3shot
5,qwen_chat_7b,3shot-sc+cot-single,single,no,0.5404633449698508,no,yes,3shot
6,qwen_chat_7b,3shot-sc+cot-multiple,multiple,yes,0.248,no,yes,3shot
7,qwen_chat_7b,3shot-sc+cot-multiple,multiple,no,0.244,no,yes,3shot
8,llama-2-7b-chat,3shot-sc-single,single,yes,0.5296731196445573,no,no,3shot
9,llama-2-7b-chat,3shot-sc-single,single,no,0.5480799746112345,no,no,3shot
10,llama-2-7b-chat,3shot-sc-multiple,multiple,yes,0.208,no,no,3shot
11,llama-2-7b-chat,3shot-sc-multiple,multiple,no,0.20666666666666667,no,no,3shot
12,llama-2-7b-chat,3shot-sc+cot-single,single,yes,0.6290066645509362,no,yes,3shot
13,llama-2-7b-chat,3shot-sc+cot-single,single,no,0.5963186290066645,no,yes,3shot
14,llama-2-7b-chat,3shot-sc+cot-multiple,multiple,yes,0.22666666666666666,no,yes,3shot
15,llama-2-7b-chat,3shot-sc+cot-multiple,multiple,no,0.19733333333333333,no,yes,3shot
16,llama-2-13b-chat,3shot-sc-single,single,yes,0.584576324976198,no,no,3shot
17,llama-2-13b-chat,3shot-sc-single,single,no,0.5925103141859727,no,no,3shot
18,llama-2-13b-chat,3shot-sc-multiple,multiple,yes,0.30266666666666664,no,no,3shot
19,llama-2-13b-chat,3shot-sc-multiple,multiple,no,0.2853333333333333,no,no,3shot
20,llama-2-13b-chat,3shot-sc+cot-single,single,yes,0.6766105998095843,no,yes,3shot
21,llama-2-13b-chat,3shot-sc+cot-single,single,no,0.6331323389400191,no,yes,3shot
22,llama-2-13b-chat,3shot-sc+cot-multiple,multiple,yes,0.332,no,yes,3shot
23,llama-2-13b-chat,3shot-sc+cot-multiple,multiple,no,0.2946666666666667,no,yes,3shot
24,internlm_chat_7b,3shot-sc-single,single,yes,0.5039669946048874,no,no,3shot
25,internlm_chat_7b,3shot-sc-single,single,no,0.5039669946048874,no,no,3shot
26,internlm_chat_7b,3shot-sc-multiple,multiple,yes,0.23333333333333334,no,no,3shot
27,internlm_chat_7b,3shot-sc-multiple,multiple,no,0.23333333333333334,no,no,3shot
28,internlm_chat_7b,3shot-sc+cot-single,single,yes,0.5925103141859727,no,yes,3shot
29,internlm_chat_7b,3shot-sc+cot-single,single,no,0.5925103141859727,no,yes,3shot
30,internlm_chat_7b,3shot-sc+cot-multiple,multiple,yes,0.18266666666666667,no,yes,3shot
31,internlm_chat_7b,3shot-sc+cot-multiple,multiple,no,0.18266666666666667,no,yes,3shot
32,chinese-llama-2-13b,3shot-sc-single,single,yes,0.4604887337353221,no,no,3shot
33,chinese-llama-2-13b,3shot-sc-single,single,no,0.4604887337353221,no,no,3shot
34,chinese-llama-2-13b,3shot-sc-multiple,multiple,yes,0.16666666666666666,no,no,3shot
35,chinese-llama-2-13b,3shot-sc-multiple,multiple,no,0.16666666666666666,no,no,3shot
36,chinese-llama-2-13b,3shot-sc+cot-single,single,yes,0.32211996191685177,no,yes,3shot
37,chinese-llama-2-13b,3shot-sc+cot-single,single,no,0.32211996191685177,no,yes,3shot
38,chinese-llama-2-13b,3shot-sc+cot-multiple,multiple,yes,0.14266666666666666,no,yes,3shot
39,chinese-llama-2-13b,3shot-sc+cot-multiple,multiple,no,0.14266666666666666,no,yes,3shot
40,chinese-alpaca-2-13b,3shot-sc-single,single,yes,0.5449063789273246,no,no,3shot
41,chinese-alpaca-2-13b,3shot-sc-single,single,no,0.5449063789273246,no,no,3shot
42,chinese-alpaca-2-13b,3shot-sc-multiple,multiple,yes,0.23733333333333334,no,no,3shot
43,chinese-alpaca-2-13b,3shot-sc-multiple,multiple,no,0.23733333333333334,no,no,3shot
44,chinese-alpaca-2-13b,3shot-sc+cot-single,single,yes,0.561726436052047,no,yes,3shot
45,chinese-alpaca-2-13b,3shot-sc+cot-single,single,no,0.561726436052047,no,yes,3shot
46,chinese-alpaca-2-13b,3shot-sc+cot-multiple,multiple,yes,0.2653333333333333,no,yes,3shot
47,chinese-alpaca-2-13b,3shot-sc+cot-multiple,multiple,no,0.2653333333333333,no,yes,3shot
48,chatglm2-6b,3shot-sc-single,single,yes,0.4119327197715011,no,no,3shot
49,chatglm2-6b,3shot-sc-single,single,no,0.4116153602031101,no,no,3shot
50,chatglm2-6b,3shot-sc-multiple,multiple,yes,0.22666666666666666,no,no,3shot
51,chatglm2-6b,3shot-sc-multiple,multiple,no,0.22666666666666666,no,no,3shot
52,chatglm2-6b,3shot-sc+cot-single,single,yes,0.45318946366232943,no,yes,3shot
53,chatglm2-6b,3shot-sc+cot-single,single,no,0.45414154236750237,no,yes,3shot
54,chatglm2-6b,3shot-sc+cot-multiple,multiple,yes,0.20133333333333334,no,yes,3shot
55,chatglm2-6b,3shot-sc+cot-multiple,multiple,no,0.20133333333333334,no,yes,3shot
56,baichuan-13b-chat,3shot-sc-single,single,yes,0.30053951126626466,no,no,3shot
57,baichuan-13b-chat,3shot-sc-single,single,no,0.27165979054268485,no,no,3shot
58,baichuan-13b-chat,3shot-sc-multiple,multiple,yes,0.12533333333333332,no,no,3shot
59,baichuan-13b-chat,3shot-sc-multiple,multiple,no,0.11466666666666667,no,no,3shot
60,baichuan-13b-chat,3shot-sc+cot-single,single,yes,0.2148524278006982,no,yes,3shot
61,baichuan-13b-chat,3shot-sc+cot-single,single,no,0.2170739447794351,no,yes,3shot
62,baichuan-13b-chat,3shot-sc+cot-multiple,multiple,yes,0.025333333333333333,no,yes,3shot
63,baichuan-13b-chat,3shot-sc+cot-multiple,multiple,no,0.037333333333333336,no,yes,3shot
64,qwen_chat_7b,zeroshot-sc-single,single,yes,0.5353855918755951,no,no,zeroshot
65,qwen_chat_7b,zeroshot-sc-single,single,no,0.5353855918755951,no,no,zeroshot
66,qwen_chat_7b,zeroshot-sc-multiple,multiple,yes,0.144,no,no,zeroshot
67,qwen_chat_7b,zeroshot-sc-multiple,multiple,no,0.14,no,no,zeroshot
68,qwen_chat_7b,zeroshot-sc+cot-single,single,yes,0.5645826721675659,no,yes,zeroshot
69,qwen_chat_7b,zeroshot-sc+cot-single,single,no,0.5388765471278959,no,yes,zeroshot
70,qwen_chat_7b,zeroshot-sc+cot-multiple,multiple,yes,0.23333333333333334,no,yes,zeroshot
71,qwen_chat_7b,zeroshot-sc+cot-multiple,multiple,no,0.19866666666666666,no,yes,zeroshot
72,llama-2-7b-chat,zeroshot-sc-single,single,yes,0.4658838463979689,no,no,zeroshot
73,llama-2-7b-chat,zeroshot-sc-single,single,no,0.4604887337353221,no,no,zeroshot
74,llama-2-7b-chat,zeroshot-sc-multiple,multiple,yes,0.12533333333333332,no,no,zeroshot
75,llama-2-7b-chat,zeroshot-sc-multiple,multiple,no,0.11866666666666667,no,no,zeroshot
76,llama-2-7b-chat,zeroshot-sc+cot-single,single,yes,0.5756902570612504,no,yes,zeroshot
77,llama-2-7b-chat,zeroshot-sc+cot-single,single,no,0.5303078387813392,no,yes,zeroshot
78,llama-2-7b-chat,zeroshot-sc+cot-multiple,multiple,yes,0.15866666666666668,no,yes,zeroshot
79,llama-2-7b-chat,zeroshot-sc+cot-multiple,multiple,no,0.13333333333333333,no,yes,zeroshot
80,llama-2-13b-chat,zeroshot-sc-single,single,yes,0.537289749285941,no,no,zeroshot
81,llama-2-13b-chat,zeroshot-sc-single,single,no,0.4823865439543002,no,no,zeroshot
82,llama-2-13b-chat,zeroshot-sc-multiple,multiple,yes,0.16133333333333333,no,no,zeroshot
83,llama-2-13b-chat,zeroshot-sc-multiple,multiple,no,0.148,no,no,zeroshot
84,llama-2-13b-chat,zeroshot-sc+cot-single,single,yes,0.6547127895906062,no,yes,zeroshot
85,llama-2-13b-chat,zeroshot-sc+cot-single,single,no,0.5972707077118375,no,yes,zeroshot
86,llama-2-13b-chat,zeroshot-sc+cot-multiple,multiple,yes,0.30133333333333334,no,yes,zeroshot
